"INCIDENT_ID","REPORTDATE","INCIDENT_ADDRESS","DISTRICT_ID","PRECINCT_ID","OFFENSE_CATEGORY_ID","MJ_RELATION_TYPE","NEIGHBORHOOD_ID"
"2012479192",2012-10-14,"1178 S KALAMATH ST, Denver, CO","4","422","Burglary","INDUSTRY
","ruby-hill"
"2014315606",2014-06-20,"1241 N MEADE ST, Denver, CO","1","122","Burglary","NON-INDUSTRY
","west-colfax"
"2016515886",2016-08-14,"155 S PECOS ST, Denver, CO","4","411","Burglary","INDUSTRY
","valverde"
"2013386164",2013-08-16,"2059 W 9TH AVE, Denver, CO","1","123","Burglary","INDUSTRY
","lincoln-park"
"2016731454",2016-11-15,"2675 S SANTA FE DR, Denver, CO","3","313","Burglary","INDUSTRY
","overland"
"2013581439",2013-12-03,"1445 S PEARL ST, Denver, CO","3","313","Criminal Mischief-Property","INDUSTRY
","platt-park"
"2016492297",2016-08-04,"2191 S JASON ST, Denver, CO","4","422","Burglary","INDUSTRY
","college-view-south-platte"
"20146004060",2014-05-07,"424 N LIPAN ST, Denver, CO","3","311","Larceny","INDUSTRY
","baker"
"2014627084",2014-11-25,"1452 N POPLAR ST, Denver, CO","2","223","Burglary","INDUSTRY
","montclair"
"2015355741",2015-06-26,"4124 N SHERIDAN BLVD, Denver, CO","1","111","Robbery-Street-Res","NON-INDUSTRY
","berkeley"
"2012171409",2012-04-26,"1479 S HOLLY ST, Denver, CO","3","322","Burglary","INDUSTRY
","virginia-village"
"2016564626",2016-09-03,"3887 N STEELE ST, Denver, CO","2","212","Robbery-Business","INDUSTRY
","clayton"
"2016420781",2016-07-04,"1100 N YUMA CT, Denver, CO","1","123","Burglary","INDUSTRY
","lincoln-park"
"2012127850",2012-03-29,"2262 S BROADWAY ST, Denver, CO","3","313","Burglary","INDUSTRY
","rosedale"
"2012577080",2012-12-14,"2070 S HURON ST, Denver, CO","3","313","Burglary","INDUSTRY
","overland"
"2014645273",2014-12-05,"2394 S BROADWAY ST, Denver, CO","3","313","Simple Assault","NON-INDUSTRY
","rosedale"
"2013201626",2013-05-06,"670 N BRYANT ST, Denver, CO","1","122","Burglary","INDUSTRY
","sun-valley"
"2013206007",2013-05-09,"1755 S BROADWAY ST, Denver, CO","3","313","Criminal Mischief-Property","INDUSTRY
","overland"
"2016501351",2016-08-08,"2895 W 8TH AVE, Denver, CO","1","122","Burglary","INDUSTRY
","sun-valley"
"201431086",2014-01-18,"6165 E ILIFF AVE, Denver, CO","3","323","Burglary","NON-INDUSTRY
","goldsmith"
"2013206096",2013-05-09,"5475 N PEORIA ST, Denver, CO","5","511","Burglary","INDUSTRY
","montbello"
"2015118928",2015-03-03,"1031 W CENTER AVE, Denver, CO","4","412","Burglary","INDUSTRY
","athmar-park"
"2012410720",2012-09-05,"2744 W 4TH AVE, Denver, CO","4","411","Burglary","INDUSTRY
","valverde"
"2012202079",2012-05-14,"1810 S BROADWAY ST, Denver, CO","3","313","Burglary","INDUSTRY
","platt-park"
"2012313890",2012-07-14,"2000 S ACOMA ST, Denver, CO","3","313","Larceny","INDUSTRY
","overland"
"2013357267",2013-07-31,"300 BLOCK E 6TH AVE, Denver, CO","3","311","Robbery-Street-Res","NON-INDUSTRY
","speer"
"2013524618",2013-10-31,"5194 N WASHINGTON ST, Denver, CO","1","112","Burglary","INDUSTRY
","globeville"
"2015546529",2015-09-20,"3100 BLAKE ST, Denver, CO","2","211","Robbery-Business","INDUSTRY
","five-points"
"2012378437",2012-08-19,"5403 N BILLINGS ST, Denver, CO","5","521","Burglary","NON-INDUSTRY
","montbello"
"2015202896",2015-04-14,"1332 S CHEROKEE ST, Denver, CO","3","313","Burglary","INDUSTRY
","overland"
"2013477663",2013-10-04,"54 N LIPAN ST, Denver, CO","3","311","Burglary","INDUSTRY
","baker"
"2012504168",2012-10-29,"3225 E 42ND AVE, Denver, CO","2","212","Auto Theft","INDUSTRY
","elyria-swansea"
"2012221135",2012-05-25,"1133 S BANNOCK ST, Denver, CO","3","313","Burglary","INDUSTRY
","overland"
"2012223659",2012-05-26,"2625 N IVANHOE ST, Denver, CO","2","222","Robbery-Street-Res","NON-INDUSTRY
","north-park-hill"
"2015729632",2015-12-16,"3955 N STEELE ST, Denver, CO","2","212","Simple Assault","NON-INDUSTRY
","clayton"
"2012470715",2012-10-09,"65 N CLARKSON ST, Denver, CO","3","311","Robbery-Street-Res","NON-INDUSTRY
","speer"
"2012155500",2012-04-16,"4960 N JACKSON ST, Denver, CO","2","212","Burglary","INDUSTRY
","elyria-swansea"
"2012381301",2012-08-20,"695 N BRYANT ST, Denver, CO","1","122","Burglary","INDUSTRY
","sun-valley"
